LEAR_ID,AGENCYNAME,CITY,STATE,ZIPCODE,FIPS,POPSERVED,POPGROUP,FTSWORN,PERS_NEW_WHT,PERS_NEW_BLK,PERS_NEW_HSP,PERS_NEW_IND,PERS_NEW_ASN,PERS_NEW_HAW,PERS_NEW_TWO,PERS_NEW_UNK,PERS_NEW_TOTR,PERS_NEW_MALE,PERS_NEW_FEM,PERS_NEW_TOTS,PERS_WHITE_MALE,PERS_BLACK_MALE,PERS_HISP_MALE,PERS_AMIND_MALE,PERS_ASIAN_MALE,PERS_HAWPI_MALE,PERS_MULTI_MALE,PERS_UNK_MALE,PERS_MALE,PERS_WHITE_FEM,PERS_BLACK_FEM,PERS_HISP_FEM,PERS_AMIND_FEM,PERS_ASIAN_FEM,PERS_HAWPI_FEM,PERS_UNK_FEM,PERS_FEMALE,PERS_CHF_RACE,PERS_SUP_SGT_WH,PERS_SUP_SGT_BK,PERS_SUP_SGT_HS,PERS_SUP_SGT_AI,PERS_SUP_SGT_AS,PERS_SUP_SGT_HA,PERS_SUP_SGT_MUL,PERS_SUP_SGT_UNK,PERS_SUP_SGT_TOTR,PERS_SUP_SGT_MALE,PERS_SUP_SGT_FEM,PERS_SUP_SGT_TOTS,PERS_COLBAR_SWN,PERS_COLBAR_LIM,PERS_COLBAR_NON,NUMCPO,CP_MISSION,CP_PLAN,CP_TRN_NEW,CP_CPACAD,CP_TRN_INSRV,ISSU_ADDR_CP,EQ_AUTH_NECK,EQ_AUTH_CHEM,POL_MAXHRS,POL_MENTILL,POL_INCUSDTH,POL_RACPROF,POL_ACTSHOOT,POL_STFRSK,POL_FOOT,POL_MSCOND,POL_BWC,POL_CULTAW,POL_INV_INJRY,POL_INV_DTH,POL_CCRB,ISSU_ADDR_CRMPREV
630022,ALABAMA DEPARTMENT OF PUBLIC SAFETY,MONTGOMERY,AL,36104,1101,4863300,1,729,28,15,0,0,0,1,0,0,44,14,30,44,590,115,2,1,0,1,0,0,709,14,4,1,0,0,1,0,20,1,133,19,0,1,0,0,0,0,153,147,6,153,3,-8,3,0,-8,2,3,2,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
637575,MURRAY COUNTY SHERIFF'S DEPARTMENT,CHATSWORTH,GA,30705,13213,39315,6,25,0,0,1,0,0,0,0,0,1,1,0,1,37,0,0,0,0,0,0,0,37,6,0,0,0,0,0,0,6,1,8,0,0,0,0,0,0,0,8,7,1,8,3,-8,-8,0,1,1,3,2,3,3,-88,-88,2,1,1,2,1,1,1,1,2,2,1,1,2,3
647457,OKLAHOMA HIGHWAY PATROL,OKLAHOMA CITY,OK,73111,40109,3923561,1,799,29,2,1,8,0,0,0,0,40,38,2,40,654,30,0,93,4,0,0,0,781,16,1,1,0,0,0,0,18,1,93,3,5,8,0,0,0,0,109,106,3,109,3,-8,3,3,1,2,1,2,3,4,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,3
645752,MONTGOMERY VILLAGE POLICE DEPARTMENT,MONTGOMERY,NY,12549,36071,4572,8,4,1,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-8,-8,0,2,2,3,2,3,4,-88,-88,2,2,2,2,2,2,2,2,1,2,1,1,2,4
633631,NORWAY POLICE DEPARTMENT,NORWAY,SC,29113,45075,324,9,2,2,1,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-8,-8,2,-8,1,3,2,3,3,1,-88,1,1,2,2,2,1,1,1,1,2,1,1,2,3
639811,MEDARYVILLE POLICE DEPARTMENT,MEDARYVILLE,IN,47957,18131,581,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,3,3,-8,-8,2,3,2,3,3,-8,-8,2,2,2,2,2,2,2,2,2,2,1,1,1,3
631887,WIND POINT POLICE DEPARTMENT,RACINE,WI,53402,55101,1709,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8,2,2,-8,2,3,5,-8,-8,2,1,1,1,2,1,2,1,1,1,1,1,2,5
349379,KILLINGTON POLICE DEPARTMENT,KILLINGTON,VT,5751,50021,782,9,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,3,-8,-8,2,1,1,-8,2,2,2,-88,-88,1,1,1,1,1,1,1,1,1,1,1,1,2,2
421401,CENTERFIELD CITY POLICE DEPARTMENT,CENTERFIELD,UT,84622,49039,1416,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8,1,1,1,2,1,2,-8,-8,1,1,1,1,1,1,1,1,1,1,1,1,2,2
645914,SCHOHARIE VILLAGE POLICE DEPARTMENT,SCHOHARIE,NY,12157,36095,838,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8,1,2,-8,2,3,3,-8,-8,2,2,2,2,2,2,2,1,2,2,1,1,2,3
